sudo /usr/local/bin/sratoolkit/fastq-dump -fasta 60 GSM1375986 GSM1375987 GSM1375988 GSM1375989 GSM1375990 GSM1375991 GSM1375992 GSM1375993 GSM1375994 GSM1375995 GSM1375996 GSM1375997 GSM1375998 GSM1375999 GSM1376000 GSM1376001 GSM1376002 GSM1376003 GSM1376004 GSM1376005 GSM1376006 GSM1376007 GSM1376008 GSM1376009 GSM1376010 GSM1376011 GSM1376012 GSM1376013 GSM1376014 GSM1376015 GSM1376016 GSM1376017 GSM1376018 GSM1376019 GSM1376020 GSM1376021 GSM1376022 GSM1376023 GSM1376024 GSM1376025 GSM1376026 GSM1376027 GSM1376028 GSM1376029 GSM1376030 GSM1376031 GSM1376032 GSM1376033 GSM1376034 GSM1376035 GSM1376036 GSM1376037 GSM1376038 GSM1376039 GSM1376040 GSM1376041 GSM1376042 GSM1376043 GSM1376044 GSM1376045 GSM1376046 GSM1376047 GSM1376048 GSM1376049 GSM1376050 GSM1376051 GSM1376052 GSM1376053 GSM1376054 GSM1376055 GSM1376056 GSM1376057 GSM1376058 GSM1376059 GSM1376060 GSM1376061 GSM1376062 GSM1376063 GSM1376064 GSM1376065 GSM1376066 GSM1376067 GSM1376068 GSM1376069 GSM1376070 GSM1376071 GSM1376072 GSM1376073 GSM1376074 GSM1376075 GSM1376076 

sudo /usr/local/bin/sratoolkit/fastq-dump --outdir . --gzip --skip-technical  --readids --read-filter pass --dumpbase --split-3 --clip SRR1265563

GSM1375986	Normal lung tissue 1017-NOR
GSM1375987	Normal lung tissue 1079-NOR
GSM1375988	Normal lung tissue 110-NOR
GSM1375989	Normal lung tissue 1199-NOR
GSM1375990	Normal lung tissue 1207-NOR
GSM1375991	Normal lung tissue 1264-NOR
GSM1375992	Normal lung tissue 1334-NOR
GSM1375993	Normal lung tissue 1355-NOR
GSM1375994	Normal lung tissue 1376-NOR
GSM1375995	Normal lung tissue 1379-NOR
GSM1375996	Normal lung tissue 1396-NOR
GSM1375997	Normal lung tissue 1424-NOR
GSM1375998	Normal lung tissue 1444-NOR
GSM1375999	Normal lung tissue 1464-NOR
GSM1376000	Normal lung tissue 1467-NOR
GSM1376001	Normal lung tissue 1475-NOR
GSM1376002	Normal lung tissue 1487-NOR
GSM1376003	Normal lung tissue 1503-NOR
GSM1376004	Normal lung tissue 155-NOR
GSM1376005	Normal lung tissue 1617-NOR
GSM1376006	Normal lung tissue 1770-NOR
GSM1376007	Normal lung tissue 1787-NOR
GSM1376008	Normal lung tissue 1901-NOR
GSM1376009	Normal lung tissue 1907-NOR
GSM1376010	Normal lung tissue 201-NOR
GSM1376011	Normal lung tissue 223-NOR
GSM1376012	Normal lung tissue 2294-NOR
GSM1376013	Normal lung tissue 2367-NOR
GSM1376014	Normal lung tissue 2469-NOR
GSM1376015	Normal lung tissue 2479-NOR
GSM1376016	Normal lung tissue 252-NOR
GSM1376017	Normal lung tissue 2808-NOR
GSM1376018	Normal lung tissue 2826-NOR
GSM1376019	Normal lung tissue 2832-NOR
GSM1376020	Normal lung tissue 2969-NOR
GSM1376021	Normal lung tissue 300-NOR
GSM1376022	Normal lung tissue 3033-NOR
GSM1376023	Normal lung tissue 306-NOR
GSM1376024	Normal lung tissue 3157-NOR
GSM1376025	Normal lung tissue 3160-NOR
GSM1376026	Normal lung tissue 3161-NOR
GSM1376027	Normal lung tissue 3197-NOR
GSM1376028	Normal lung tissue 3231-NOR
GSM1376029	Normal lung tissue 3239-NOR
GSM1376030	Normal lung tissue 3243-NOR
GSM1376031	Normal lung tissue 3287-NOR
GSM1376032	Normal lung tissue 33-NOR
GSM1376033	Normal lung tissue 3327-NOR
GSM1376034	Normal lung tissue 34-NOR
GSM1376035	Normal lung tissue 3543-NOR
GSM1376036	Normal lung tissue 3594-NOR
GSM1376037	Normal lung tissue 3699-NOR
GSM1376038	Normal lung tissue 3702-NOR
GSM1376039	Normal lung tissue 3725-NOR
GSM1376040	Normal lung tissue 3732-NOR
GSM1376041	Normal lung tissue 3813-NOR
GSM1376042	Normal lung tissue 3883-NOR
GSM1376043	Normal lung tissue 3917-NOR
GSM1376044	Normal lung tissue 3965-NOR
GSM1376045	Normal lung tissue 4004-NOR
GSM1376046	Normal lung tissue 4172-NOR
GSM1376047	Normal lung tissue 4208-NOR
GSM1376048	Normal lung tissue 421-NOR
GSM1376049	Normal lung tissue 4218-NOR
GSM1376050	Normal lung tissue 4266-NOR
GSM1376051	Normal lung tissue 4286-NOR
GSM1376052	Normal lung tissue 4293-NOR
GSM1376053	Normal lung tissue 4305-NOR
GSM1376054	Normal lung tissue 4361-NOR
GSM1376055	Normal lung tissue 4658-NOR
GSM1376056	Normal lung tissue 467-NOR
GSM1376057	Normal lung tissue 4772-NOR
GSM1376058	Normal lung tissue 4845-NOR
GSM1376059	Normal lung tissue 4851-NOR
GSM1376060	Normal lung tissue 4881-NOR
GSM1376061	Normal lung tissue 495-NOR
GSM1376062	Normal lung tissue 507-NOR
GSM1376063	Normal lung tissue 5122-NOR
GSM1376064	Normal lung tissue 5202-NOR
GSM1376065	Normal lung tissue 522-NOR
GSM1376066	Normal lung tissue 5275-NOR
GSM1376067	Normal lung tissue 55-NOR
GSM1376068	Normal lung tissue 572-NOR
GSM1376069	Normal lung tissue 581-NOR
GSM1376070	Normal lung tissue 640-NOR
GSM1376071	Normal lung tissue 681-NOR
GSM1376072	Normal lung tissue 750-NOR
GSM1376073	Normal lung tissue 841-NOR
GSM1376074	Normal lung tissue 899-NOR
GSM1376075	Normal lung tissue 935-NOR
GSM1376076	Normal lung tissue 987-NOR
